Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Бабʼяк;Омелян;Орхипович;Чоловік;14-10-1964;Машиніст;хутір Хоростків;вулиця Травневий 5-й, буд. 7 кв. 4, Чортків, 82325;040 691 51 64;jnalyvaiko@example.net
Забашта;Іван;Демидович;Чоловік;14-04-1987;Кінорежисер;село Залізне;сквер Мічманський 2-й, буд. 1, Новоазовськ, 93809;+380 18 360 36 26;ndemianchuk@example.com
Матвієнко;Миколай;Юстимович;Чоловік;13-03-1961;Актор;село Корюківка;сквер Студентський 3-й, буд. 2, Жовті Води, 54379;996-69-55;hermanshynkarenko@example.com
Чубай;Алевтин;Феофанович;Чоловік;24-04-1948;Доцент;село Старий Крим;шосе Десантний, буд. 23 кв. 4, Каховка, 85960;+380 49 640 50 46;edyta55@example.net
Гриценко;Ярина;Алевтинівна;Жінка;15-09-1992;Локсмайстер;хутір Новий Калинів;сквер Першотравневий 3-й, буд. 38, Дунаївці, 24022;+380 50 082-86-67;xizhakevych@example.com
Єременко;Святослав;Трохимович;Чоловік;15-10-1995;Паблік рилейшнз;село Кобеляки;проспект Хвойний, буд. 88, Вільнянськ, 62327;+380 21 747 31 05;stanislav05@example.net
Ніколюк;Мартин;Прохірович;Чоловік;07-06-1945;Нотаріус;селище Миргород;шосе Полтавська, буд. 95, Гребінка, 33978;+380 79 388-26-38;khrystyna83@example.com
Василечко;Ольга;Глібівна;Жінка;30-06-1955;Ґрунтознавець;місто Бердянськ;узвіз Єфімова, буд. 7, Алупка, 59611;972-06-90;kalenychenkoliudmyla@example.org
Артюх;Охрім;Богодарович;Чоловік;05-07-2001;Біолог;хутір Нова Каховка;площа Книжковий, буд. 07, Могилів-Подільський, 92736;560 50 07;csemenchenko@example.org
Адамчук;Мілена;Алевтинівна;Жінка;19-11-1995;Дизайнер;селище Бурштин ;набережна Абрикосова, буд. 10 кв. 505, Кам'янка-Дніпровська, 55020;+380 (79) 641-04-19;mariana19@example.net
Сірченко;Леон;Венедиктович;Чоловік;27-03-1949;Історик;селище Моршин;набережна Волна тупик, буд. 363 кв. 404, Добромиль, 04411;+380 15 434-13-69;petrohres@example.com
Гузенко;Ігор;Ростиславович;Чоловік;08-08-1970;Льотчик;місто Шостка;парк Героїв прикордонників, буд. 2 кв. 272, Хоростків, 83087;831-86-50;ipavlyk@example.org
Алексійчук;Тарас;Богодарович;Чоловік;01-03-2001;Каскадер;селище Кропивницький;площа Перша, буд. 8, Світлодарськ, 96961;+380 (20) 874-32-58;dhaidabura@example.net
Чаленко;Олена;Юстимівна;Жінка;18-12-1967;Журналіст;місто Мостиська;шосе Щоголєва, буд. 2, Великі Мости, 84859;+380 (53) 193-66-92;xandriievych@example.net
Чередник;Пармен;Андрійович;Чоловік;07-01-1954;Футболіст;хутір Калинівка ;проспект Кондрашина, буд. 467, Лубни, 61799;+380 22 696-57-75;eduardtymchenko@example.com
Мамчур;Макар;Георгійович;Чоловік;08-05-1991;Кінорежисер;селище Тараща;вулиця Вапняна, буд. 85 кв. 4, Брянка, 81037;+380 57 082-22-16;rubetsiustym@example.com
Лисенко;Мартин;Ігнатович;Чоловік;14-01-1966;Кінокритик;місто Лисичанськ;набережна Офіцерський 1-й, буд. 51, Великі Мости, 76807;+380 (11) 372-73-73;tarasabramchuk@example.org
Остапчук;Ілля;Дмитрович;Чоловік;08-10-1973;Письменник;селище Борислав;проспект Вознесенський, буд. 855, Бахчисарай, 47584;+380 17 254-25-59;kfomenko@example.net
Деряжний;Борислав;Давидович;Чоловік;12-06-1992;Програміст;село Корець;парк Іванова 2-й, буд. 02 кв. 45, Рубіжне, 47273;+380 (09) 178-05-21;parmendubenko@example.com
Гаврюшенко;Святослава;Леонтіївна;Жінка;16-05-1988;Геолог;село Ватутіне;парк Горбатий міст, буд. 856 кв. 57, Каховка, 09345;177-81-38;ielysavetaatroshchenko@example.net
Шморгун;Богданна;Лесьівна;Жінка;17-09-1969;Конструктор;місто Іршава;узвіз Вознесенський, буд. 9 кв. 566, Судак , 71270;650-86-19;valeriivakarchuk@example.net
Ісаєнко;Венедикт;Несторович;Чоловік;15-01-1992;Мірошник;селище Корсунь-Шевченківський;проспект Армійська, буд. 346 кв. 59, Ладижин, 23490;+380 31 011 34 86;varvara53@example.org
Данько;Лукʼян;Несторович;Чоловік;29-08-1962;Парфюмер;місто Козятин;шосе Головна, буд. 23 кв. 5, Білозерське, 89149;815-99-35;demydieroshenko@example.net
Слюсар;Мирослав;Феофанович;Чоловік;23-09-2003;Локсмайстер;хутір Ворожба;проспект Політкаторжан, буд. 1 кв. 637, Армянськ, 84016;+380 74 039-25-32;kzaichenko@example.org
Зінкевич;Марина;Геннадіївна;Жінка;17-12-1999;Бібліограф;село Христинівка;площа Новиков міст, буд. 07 кв. 27, Лутугине, 03206;+380 (87) 516-09-72;iurchuklarysa@example.org
Андрієвич;Дан;Йосипович;Чоловік;05-07-1990;Сценарист;хутір Лутугине;провулок Лінія 30-та, буд. 2, Бережани, 23566;017 075-86-32;dzyndraolha@example.org
Закусило;Борислав;Віталійович;Чоловік;27-08-1949;Правник;місто Алчевськ;узвіз Іванова Ігоря, буд. 3, Вараш, 66974;094 17 64;dankokhrystyna@example.com
Франчук;Арсен;Германович;Чоловік;07-08-1991;Громадський діяч;місто Джанкой;провулок Слобідський узвіз, буд. 28, Первомайський , 39854;295-90-41;havrylo76@example.net
Скиба;Віра;Арсенівна;Жінка;09-02-1938;Редактор;хутір Нова Одеса;проспект 4-та Суворовська, буд. 4 кв. 777, Єнакієве, 30437;067 458-31-73;tereza29@example.com
Щириця;Станіслав;Богодарович;Чоловік;03-09-1941;Професор;село Рогатин;парк Пантелеймонівська, буд. 8, Інкерман, 15007;+380 34 583-54-33;drobakhaleontii@example.org
Башполченко;Віра;Германівна;Жінка;05-12-2003;Соціолог;місто Нетішин;набережна 13-та ст. Великого Фонтану пляж, буд. 8 кв. 0, Бахмач, 46010;+380 12 119-15-39;babakoles@example.com
Міщенко;Єлисей;Микитович;Чоловік;14-04-1943;Соціолог;місто Камінь-Каширський;проспект Жолкова Бориса, буд. 0 кв. 063, Перещепине, 72757;828 46 11;okseniiachernenko@example.org
Єременко;Орися;Орестівна;Жінка;22-02-1941;Редактор;селище Амвросіївка;вулиця Романа Кармена, буд. 954 кв. 83, Шумськ, 11235;680 35 50;ynalyvaiko@example.net
Дрозденко;Василь;Пантелеймонович;Чоловік;12-02-1944;Актор;хутір Ромни;провулок Пляжна, буд. 99 кв. 4, Тернівка , 92659;+380 68 694 52 89;danna11@example.net
Свириденко;Олесь;Давидович;Чоловік;21-11-1971;Астронавт;село Стебник;узвіз Людмили Гінзбург, буд. 171 кв. 7, Кролевець, 22630;+380 19 869-42-32;emiliia40@example.org
Килимник;Роксолана;Аркадіївна;Жінка;18-11-1984;Музикознавець;хутір Куп'янськ;узвіз Сухолиманна, буд. 07 кв. 618, Стебник, 31196;+380 (99) 344-22-98;demyd33@example.com
Ґерус;Трохим;Орестович;Чоловік;20-08-1993;Палеонтолог;хутір Ватутіне;шосе Балтський 1-й, буд. 1, Косів, 24989;086 41 36;hannashtepa@example.net
Ґалаґан;Єлисей;Станіславович;Чоловік;20-07-1975;Дантист;селище Косів;площа Проектований 4-й, буд. 85, Середина-Буда, 81924;259 91 92;venedyktdrozd@example.net
Гриценко;Стефан;Ааронович;Чоловік;11-02-1950;Каскадер;село Бурштин ;набережна Банний, буд. 057, Лубни, 11893;+380 33 011-23-15;eduardriabets@example.com
Акименко;Марина;Остапівна;Жінка;14-07-1943;Сантехнік;село Корюківка;площа 12-та ст. Великого Фонтану пляж, буд. 701 кв. 8, Золотоноша, 14116;+380 38 530 01 53;okhrymovychdemyd@example.org
